FACILITY,TOTAL REVENUE,Branch
JOVEL PHARMACY,162167.26,OSU WHOLESALE
PARTNERS HEALTH SERVICES,161612.74,KUMASI WHOLESALE
FAITH PHARMACY,158630.39,TANTRA HILL WHOLESALE
BOS CHEMIST LTD,154580.98,DANSOMAN MARKET WHOLESALE
BANLYD PHARMACY,154235.29,DOME WHOLESALE
GETWELL PHARMACY,152606.34,ASHAIMAN WHOLESALE
NAT & SONS PHARMACY-CAPE COAST,152102.60,OKAISHIE WHOLESALE
URIKA MEDICAL CENTRE,151981.90,ABEKA WHOLESALE
GETWELL HERBAL,151264.31,NANAKROM WHOLESALE
ELICHEM LTD,148623.07,KORLE-BU WHOLESALE
ZODIAC CHEMIST,148511.36,DANSOMAN MARKET WHOLESALE
METROPHARM LTD,148163.80,OSU WHOLESALE
ROMART PHARMACY (MATAHEKO),146229.57,DANSOMAN MARKET WHOLESALE
MYCRO CHEMIST,146137.22,OKAISHIE WHOLESALE
ANSA PHARMA - KORLE-BU,144648.57,KORLE-BU WHOLESALE
AID - POINT  PHARMACY,143630.56,MALLAM WHOLESALE
ETAY PHARMACY,143553.34,NANAKROM WHOLESALE
ETAY PHARMACY,141707.96,OKAISHIE WHOLESALE
RAYDOS PHARMACY LTD,140944.32,TANTRA HILL WHOLESALE
YAMED PHARMACY LTD,140881.42,KORLE-BU WHOLESALE
RICHCORD PHARMACY,140403.15,OSU WHOLESALE
J & D PHARMACY,139092.75,ASHAIMAN WHOLESALE
OFAKO PHARMACY KASOA,136987.80,DOME WHOLESALE
MENRI PHARMACY,135004.64,KUMASI WHOLESALE
EVEPET PHARMACY,134008.28,OSU WHOLESALE
CLIMBERS PHARMA,133931.64,OSU WHOLESALE
VAFY PHARMACY LTD,133773.77,OSU WHOLESALE
ADD PHARMA LIMITED,133359.17,OSU WHOLESALE
WELLMART PHARMACY,132404.66,NANAKROM WHOLESALE
GOBALMED PHARMACY,130970.86,ASHAIMAN WHOLESALE
BUCK HOSPITAL,130614.46,DOME WHOLESALE
EL NHYI PHARMACY LAKESIDE,129383.10,OKAISHIE WHOLESALE
TIB PHARMACY - WHOLESALE,127237.11,PATASE WHOLESALE
FRED'S PHARMACY,126274.42,MALLAM WHOLESALE
PEARLANE PHARMACY - WHOLESALE,125210.00,KUMASI WHOLESALE
DOSTY PHARMACY,124706.83,MALLAM WHOLESALE
BIG MARON PHARMACY,124034.58,ABEKA WHOLESALE
MALB PHARMA LIMITED,123018.84,MALLAM WHOLESALE
HAATSO PHARMACY LTD,122943.68,DOME WHOLESALE
STIPPS PHARMACY,122653.58,NANAKROM WHOLESALE
LEGACY HEALTH SERVICES WHOLESALE,122517.85,KUMASI WHOLESALE
MEDRX CHEMIST,121837.53,OKAISHIE WHOLESALE
JOVEL PHARMACY,121253.17,KORLE-BU WHOLESALE
FAMOG PHARMACY LIMITED,120531.53,ASHAIMAN WHOLESALE
KOBJOE PHARMACY LTD,120489.63,KUMASI WHOLESALE
MILE 7 PHARMACY,117423.13,TANTRA HILL WHOLESALE
KOSAK PHARMACY LTD.,117231.31,OKAISHIE WHOLESALE
SILSCREN PHARMACY,116864.64,DOME WHOLESALE
LAUSKI PHARMACY,116336.32,DANSOMAN MARKET WHOLESALE
AMBY CHEMIST LTD,116085.27,KUMASI WHOLESALE
IMPERIAL CHEMIST,115775.38,TANTRA HILL WHOLESALE
CROWN MEDICAL CENTRE,113939.05,DOME WHOLESALE
LENARLES PHARMACY,113782.47,OKAISHIE WHOLESALE
NEKFAN PHARMA LTD,112956.03,KUMASI WHOLESALE
JENNY D CHEMICAL,112401.19,TANTRA HILL WHOLESALE
KLAY PHARMACY LTD,112211.08,OFANKOR WHOLESALE
CITI PHARMACY LTD (HO),112109.76,OKAISHIE WHOLESALE
ALSONS PHARMACY DOBLO,112097.65,KORLE-BU WHOLESALE
EXPRESS LIFE HEALTHCARE PHARMACY,111989.82,OKAISHIE WHOLESALE
BLESS CHEMICAL,111908.07,DANSOMAN MARKET WHOLESALE
ASANTESON CHEMICAL,111769.84,OFANKOR WHOLESALE
HASBEL PHARMACY LTD,109886.30,DOME WHOLESALE
PRO HEALTH PHARMACY,109113.03,KORLE-BU WHOLESALE
RYTCOL PHARMACY,108433.32,MALLAM WHOLESALE
EDIESTAL PHARMACY LTD,108106.64,DANSOMAN MARKET WHOLESALE
YOMA CHEMIST,107555.26,MALLAM WHOLESALE
LIZDAN PHARMACY,107292.59,KASOA WHOLESALE
MULTI I PHARMACY - WHOLESALE,107213.28,KUMASI WHOLESALE
HABAKS PHARMACY,105860.75,OFANKOR WHOLESALE
BLISS PHARMACY,105309.89,TANTRA HILL WHOLESALE
DEWLAND CHEMIST,104014.16,DANSOMAN MARKET WHOLESALE
RINGWAY CHEMIST LTD,103386.38,OSU WHOLESALE
STEVEMENS PHARMACY,103194.78,OFANKOR WHOLESALE
SNA PHARMACY,102813.91,DOME WHOLESALE
DEWLAND CHEMIST,102682.94,AKUKOR FOTO WHOLESALE
NEIGHBOR PHARMACY,101629.34,KORLE-BU WHOLESALE
MAYSON PHARMACEUTICALS LTD,100977.38,REPUBLIC WHOLESALE
VICTORY PHARMACY LIMITED,100824.17,OKAISHIE WHOLESALE
DIAGNOPHARMA LTD,100524.44,MALLAM WHOLESALE
BATOUL PHARMACY,100161.96,NANAKROM WHOLESALE
SUPREME BOX PHARMACY,99780.83,DOME WHOLESALE
MEDSTOP PHARMACY LTD,99176.16,KUMASI WHOLESALE
HOLYCARE SPECIALIST HOSPITAL,99082.21,KORLE-BU WHOLESALE
SAMGYEN PHARMACY,98987.89,NANAKROM WHOLESALE
AMPOMA PHARMACY,97903.83,DOME WHOLESALE
KELMED PHARMACEUTICALS LTD.,97809.61,OKAISHIE WHOLESALE
ROYAL CHARISMA DOME,97405.03,DOME WHOLESALE
WENCOL PHARMACY,97081.82,OSU WHOLESALE
RAHMA GENERAL CLINIC,96978.44,TANTRA HILL WHOLESALE
SILVARA PHARMACY,96715.08,TANTRA HILL WHOLESALE
CRYSTAL TABS PHARMACY,96500.67,DOME WHOLESALE
TOFFEY PHARMACY LIMITED,94041.31,OFANKOR WHOLESALE
LIFE MATTER PHARMACY,93558.95,TANTRA HILL WHOLESALE
BELPAT PHARMACEUTICALS WHOLESALE,93200.16,PATASE WHOLESALE
LLOYDINA PHARMACY,92597.98,ABEKA WHOLESALE
GOOD CARE PHARMACY LTD,92455.49,KORLE-BU WHOLESALE
HEALTH ALLIAZ,92355.59,NANAKROM WHOLESALE
STARAID CARE LIMITED,91556.43,OSU WHOLESALE
FAASE PHARMACY LTD,91331.31,OKAISHIE WHOLESALE
ROYAL CHARISMA DOME,90723.85,TANTRA HILL WHOLESALE
ANEEJA HOSPITAL,90615.06,TANTRA HILL WHOLESALE
ZODIAC CHEMIST,90490.08,AKUKOR FOTO WHOLESALE
AHOTO PHARMACY LTD,90320.80,MALLAM WHOLESALE
ASHTEE CHEMIST,90091.04,KORLE-BU WHOLESALE
CADSAM CHEMICAL,90054.39,KORLE-BU WHOLESALE
JOY -KLINK PHARMACY,89759.73,NANAKROM WHOLESALE
UCL OFANKOR RETAIL,89354.25,OFANKOR WHOLESALE
KIRENA PHARMACY,87991.96,OFANKOR WHOLESALE
S & S PHARMACY,87796.65,ABEKA WHOLESALE
C. HILL PHARMACY,87753.68,DANSOMAN MARKET WHOLESALE
RAYDOS PHARMACY LTD,87643.26,OFANKOR WHOLESALE
SINA PHARMACY,87448.52,KORLE-BU WHOLESALE
KINGSTREET PHARMACY,87374.30,REPUBLIC WHOLESALE
KAYNEX PHARMACY LIMITED,87324.40,KUMASI WHOLESALE
MEDITEL PHARMA LTD,87096.34,OKAISHIE WHOLESALE
MARYGOLD PHARMACY LTD,86671.27,OKAISHIE WHOLESALE
WELLBOX PHARMACY,86630.91,OKAISHIE WHOLESALE
VICBARNS PHARMACY LTD - WHOLESALE,86595.00,KUMASI WHOLESALE
ACHESTA PHARMACEUTICALS,86408.57,OFANKOR WHOLESALE
MD PHARMACY LTD,86166.71,ABEKA WHOLESALE
JAN AID PHARMACY,86095.78,DANSOMAN MARKET WHOLESALE
YAMED PHARMACY LTD,86041.24,OSU WHOLESALE
EMBOCH CHEMIST LTD,85836.20,TANTRA HILL WHOLESALE
HEALTH CONCERN CHEMICAL,85597.76,KASOA WHOLESALE
MARIWAK PHARMACY,85590.02,MALLAM WHOLESALE
GOPENS PHARMACY - RETAIL,85421.19,KUMASI WHOLESALE
PRECIOUS CHEMICAL,85394.98,REPUBLIC WHOLESALE
GOD'S OWN CHEMICALS,83760.75,OFANKOR WHOLESALE
NU MEDICALS PHARMACY,83630.89,TANTRA HILL WHOLESALE
COLLIERS PHARMACY,83494.48,MALLAM WHOLESALE
SIKWA PHARMACY,83007.42,OFANKOR WHOLESALE
BENDI CHEMIST,82246.90,MALLAM WHOLESALE
OPOKU WARE HOSPITAL,82146.67,DANSOMAN MARKET WHOLESALE
KRISHAN PHARMACY,82047.29,KORLE-BU WHOLESALE
77 ELIXIRS PHARMACY,81605.79,KORLE-BU WHOLESALE
ORBITAL PHARMACY AMASAMAN,81522.83,DOME WHOLESALE
CHARA PHARMACY,81444.81,OKAISHIE WHOLESALE
PEEKS PHARMACY,81124.08,MALLAM WHOLESALE
MONAZ PHARMACY,81113.32,MALLAM WHOLESALE
A&B PHARMA LTD - TAKORADI,81096.89,MALLAM WHOLESALE
REMEDY ISLAND PHARMACY,81075.02,DOME WHOLESALE
VINE MEDICALS,80954.21,TANTRA HILL WHOLESALE
E K PHARMACY,80927.93,OSU WHOLESALE
URGENT CARE HOSPITAL,80884.78,TANTRA HILL WHOLESALE
ESTEL CHEMIST LTD - RETAIL,80374.21,KUMASI WHOLESALE
SK GLOBAL PHARMACY,80172.84,TANTRA HILL WHOLESALE
CHELLGLEN PHARMACY,79753.75,MALLAM WHOLESALE
KRISHAN PHARMACY,79394.70,DANSOMAN MARKET WHOLESALE
JOEPHARMA LTD,79289.78,MALLAM WHOLESALE
MEDGEM PHARMACY LTD,78642.00,ABEKA WHOLESALE
KLIR MATE PHARMACY,78575.93,DOME WHOLESALE
EXPRESS CARE PHARMACY SPINTEX,78206.71,KORLE-BU WHOLESALE
JANAM CHEMICAL SHOP,78065.84,DANSOMAN MARKET WHOLESALE
JASAEL CHEMICAL,77762.68,KORLE-BU WHOLESALE
GILAT CHEMIST LTD - WHOLESALE,77720.00,KUMASI WHOLESALE
SK GLOBAL PHARMACY,77500.64,OSU WHOLESALE
GLAY PHARMACY LTD,77424.05,NANAKROM WHOLESALE
TREAT MEDICAL CENTRE,77158.97,ABEKA WHOLESALE
ADJELEYMEDS PHARMACY,77113.60,MALLAM WHOLESALE
CANDY PHARMACY,77013.64,OFANKOR WHOLESALE
UNION SQUARE PHARMACY,75674.86,KUMASI WHOLESALE
VINE MEDICALS,75540.00,OSU WHOLESALE
RAPHEKA PHARMACY LTD,74792.42,KUMASI WHOLESALE
CELIA PHARMACY,74119.83,NANAKROM WHOLESALE
ST. LUKE CARDIAC CLINIC,72723.25,MALLAM WHOLESALE
JULITET PHARMACY-ANYAA,72601.40,MALLAM WHOLESALE
FAMILYMEDS PHARMACY-ASHONGMAN,72274.37,DOME WHOLESALE
TRUSTAID PHARMACY,71952.69,ASHAIMAN WHOLESALE
CITI POINT PHARMACY,71919.24,OKAISHIE WHOLESALE
EDEN ROYAL PHARMACY,71842.74,OKAISHIE WHOLESALE
ASANTE CHEMICAL,71484.37,OFANKOR WHOLESALE
SCAB PHARMACY - WHOLESALE & RETAILS,71200.00,KUMASI WHOLESALE
CRESCENT CHEMIST,70873.17,OFANKOR WHOLESALE
2C PHARMACY,70741.86,KORLE-BU WHOLESALE
LANSAH CHEMIST - WHOLESALE & RETAIL,70615.60,KUMASI WHOLESALE
ERNEST CHEMIST LTD,70533.64,MALLAM WHOLESALE
BB & ASSOCIATES PHARMACY,69998.73,MALLAM WHOLESALE
LIMOX CHEMIST,69142.17,PATASE WHOLESALE
YASCAR PHARMACY,68926.73,PATASE WHOLESALE
TOFFEY PHARMACY LIMITED,68886.63,TANTRA HILL WHOLESALE
ADEPHARMA LTD,68675.05,KORLE-BU WHOLESALE
JEBBIN PHARMACY,68626.68,MALLAM WHOLESALE
BLUE VALLEY SPECIALIST MED. CENT.,68426.92,MALLAM WHOLESALE
FLEXSTA PHARMACY,68277.47,MALLAM WHOLESALE
SIMONEY CHEMICAL,68032.95,NANAKROM WHOLESALE
ADAZARA CHEMICAL,67671.85,DANSOMAN MARKET WHOLESALE
CHEST CLINIC KORLE BU,66689.74,KORLE-BU WHOLESALE
VERONICA ARTHUR QUARM CHEMICAL SHOP,66380.72,ASHAIMAN WHOLESALE
EMEFA CHEMICAL SHOP,65922.72,OSU WHOLESALE
LIM PHARMA LTD,65760.95,OKAISHIE WHOLESALE
KEYMED PHARMACY LTD,65631.32,KUMASI WHOLESALE
ASAMFAM PHARMACEUTICAL,65458.39,MALLAM WHOLESALE
KARLYLE PHARMACY LTD.,65304.07,OKAISHIE WHOLESALE
OPA CHEMIST LTD,65180.49,TANTRA HILL WHOLESALE
PURE CARE PHARMACY,65172.08,REPUBLIC WHOLESALE
PRISHA,64956.61,KORLE-BU WHOLESALE
ALPHA BETA PHARMACY- TESHIE,64869.65,OKAISHIE WHOLESALE
CARE CHANNEL PHARMACY,64782.52,NANAKROM WHOLESALE
QUICK AID PHARMACY,64734.93,ASHAIMAN WHOLESALE
HEALTH KEEPERS PHARMACY,64480.39,MALLAM WHOLESALE
18 KADMAT PHARMACY LTD,63016.41,MALLAM WHOLESALE
WEST LEGON COMMUNITY PHARMACY,62936.52,OKAISHIE WHOLESALE
BIOMED PHARMACIA,62772.85,MALLAM WHOLESALE
ASAMFAM PHARMACEUTICAL,62685.00,KORLE-BU WHOLESALE
GOOD CARE PHARMACY LTD,62641.05,DANSOMAN MARKET WHOLESALE
BLACK SWAN PHARMACY,62534.58,ABEKA WHOLESALE
SILVAPHARMA,62528.52,KUMASI WHOLESALE
LLOYDINA PHARMACY,62493.87,OFANKOR WHOLESALE
SAKO CHEMICAL,61617.32,REPUBLIC WHOLESALE
KABS PHARMA LTD,61439.23,KASOA WHOLESALE
WESTERN PHARMACY LTD - KRONUM,61115.50,KUMASI WHOLESALE
MELAND PHARMACY,61083.22,MALLAM WHOLESALE
HAMMS PHARMACY,60540.17,TANTRA HILL WHOLESALE
ARZTHENA PHARMACY,60026.85,MALLAM WHOLESALE
CLIMBERS PHARMA,59931.42,DOME WHOLESALE
KABY CHEMISTS,59736.29,DANSOMAN MARKET WHOLESALE
BENONOX RX PHARMACY,59394.67,MALLAM WHOLESALE
THE TRUTH PHARMACY - WHOLESALE,59116.99,KUMASI WHOLESALE
WESTERN PHARMACY LTD - SOFOLINE,58840.26,KUMASI WHOLESALE
MAVIS CHEMIST,58806.40,OFANKOR WHOLESALE
TOPMED PHARMACY DOME,58640.93,DOME WHOLESALE
PRESCRIPTION PLUS PHARMACY,58578.62,DOME WHOLESALE
ANSA PHARMA OSU,58420.49,OSU WHOLESALE
EFAN VICTORY CLINIC,57750.65,OSU WHOLESALE
CYREX CHEMIST (OSU),57578.44,DANSOMAN MARKET WHOLESALE
ROMART PHARMACY (MATAHEKO),57301.02,MALLAM WHOLESALE
WELGREENS PHARMACY,57279.35,MALLAM WHOLESALE
C. HILL PHARMACY,57162.49,AKUKOR FOTO WHOLESALE
VICTORY PHARMACY LIMITED,57151.12,ASHAIMAN WHOLESALE
THE TRUTH PHARMACY - RETAIL,56708.73,KUMASI WHOLESALE
M. ASARE OTC,56481.32,OFANKOR WHOLESALE
STRIPES PHARMACY,56460.88,MALLAM WHOLESALE
DAELYN PHARMACY,56450.90,DOME WHOLESALE
PIDA CHEMIST LTD,54981.24,KUMASI WHOLESALE
EMELSLYN PHARMACY LTD,54729.55,KUMASI WHOLESALE
JEREME CHEMIST LTD,54434.18,TANTRA HILL WHOLESALE
GREENPOINT PHARMACY,54178.01,DOME WHOLESALE
ALPHA BETA PHARMACY -ALAJO,54121.47,OKAISHIE WHOLESALE
ADAM FAMILY CLINIC,54094.54,MALLAM WHOLESALE
ASOKWA CHILDREN HOSPITAL,53700.00,KUMASI WHOLESALE
DIABETIC CENTRE KORLE BU,53292.75,KORLE-BU WHOLESALE
KAM-AID PHARMACY,52905.33,MALLAM WHOLESALE
NEB PHARMACY,52865.49,DOME WHOLESALE
FORTIS BACKNAY PHARMACY,52662.79,OFANKOR WHOLESALE
SAMSOP PHARMACY,52070.00,OKAISHIE WHOLESALE
KLAS PHARMACEUTICAL CO LTD,51735.59,NANAKROM WHOLESALE
GLAXEL CHEMIST LIMITED,51681.65,DOME WHOLESALE
GARRYSON PHARMACY,51681.48,KUMASI WHOLESALE
OPTIMAX PHARMACY LIMITED -WHOLESALE,51598.90,OKAISHIE WHOLESALE
MICFORM PHARMACY,51278.50,DOME WHOLESALE
P O A CHEMICAL,50971.89,KASOA WHOLESALE
ACHESTA PHARMACEUTICALS,50901.75,TANTRA HILL WHOLESALE
RANSTELL PHARMACY,50708.57,ASHAIMAN WHOLESALE
BROTHER OF OAK VENTURES,50545.93,REPUBLIC WHOLESALE
PRECIOUS CHEMICAL,50252.62,MALLAM WHOLESALE
MAGREEN PHARMACY,49855.05,PATASE WHOLESALE
PROSPECT HEAITH SERVICE AND CLINIC,49683.17,NANAKROM WHOLESALE
AFRAH INTERNATIONAL HOSPITAL,49632.28,OSU WHOLESALE
BLESS CHEMICAL,49556.56,KORLE-BU WHOLESALE
MAKEESA PHARMACY,49382.98,OFANKOR WHOLESALE
GOLDEN SUN PHARMACY,48847.45,KORLE-BU WHOLESALE
FIRDAWS PHARMACY,48684.20,MALLAM WHOLESALE
DEKAYS PHARMACY,48417.79,KUMASI WHOLESALE
T C PHARMACY,47963.30,OKAISHIE WHOLESALE
PILLPOINT PHARMACY,47915.94,KORLE-BU WHOLESALE
KWABENYA COMMUNITY HOSPITAL,47624.67,DOME WHOLESALE
RICHARD OFORI ATTA,47585.11,KUMASI WHOLESALE
PERFECT WELLNESS PHARMACY,47442.89,KORLE-BU WHOLESALE
P.P PHARMACY,47221.10,DOME WHOLESALE
GLORYBOG PHARMACY,46535.13,KORLE-BU WHOLESALE
J M ADDO & SONS PHARMACY,46361.01,OKAISHIE WHOLESALE
PRIME HEALTH PHARMACY CAPITAL HILL,46321.49,OKAISHIE WHOLESALE
COUNTRY MEDICAL & PHARMACY LTD,46149.12,MALLAM WHOLESALE
TEMA WOMENS HOSPITAL,46077.46,KORLE-BU WHOLESALE
ROCKGEE PHARMACY WHOLESALE,45969.86,PATASE WHOLESALE
WEST LEGON COMMUNITY PHARMACY,45873.68,DOME WHOLESALE
ASEYE PHARMACY-NANAKROM,45644.55,NANAKROM WHOLESALE
SERGEN PHARMACY,45394.10,OSU WHOLESALE
NUNANA CLINIC,45223.28,KORLE-BU WHOLESALE
REIMIK PHARMACY,45095.84,ASHAIMAN WHOLESALE
IHDN MISSION HOSPITAL,45024.30,KORLE-BU WHOLESALE
C. HILL PHARMACY,45004.05,KORLE-BU WHOLESALE
KAYNEX PHARMACY LIMITED,44972.72,PATASE WHOLESALE
K I K PRESTIGE,44967.97,NANAKROM WHOLESALE
MAMBA PHARMACY,44927.01,TANTRA HILL WHOLESALE
DENNIS AGBOTSE CHEMICALS,44833.93,DANSOMAN MARKET WHOLESALE
BRIGHT O. A. CHEMICALS,44809.08,TANTRA HILL WHOLESALE
ACHESTA PHARMACEUTICALS,44605.70,OKAISHIE WHOLESALE
ALMA CHEMIST,44494.16,KORLE-BU WHOLESALE
PHILEMON CHEMICALS,44224.31,DOME WHOLESALE
PRIME PHARMACY-AIRPOT,44209.30,TANTRA HILL WHOLESALE
HEALTH FORTE PHARMACY,44102.50,DOME WHOLESALE
MEDGRAPH GHANA LTD,44099.67,OKAISHIE WHOLESALE
MEDICAP PHARMACY,44098.27,PATASE WHOLESALE
FANSI MEDICAL SERVICES,44050.71,MALLAM WHOLESALE
EMEFA CHEMICAL SHOP,43795.40,OKAISHIE WHOLESALE
MEDGEM PHARMACY LTD,43667.28,OKAISHIE WHOLESALE
ROBERT MEDICAL CENTRE,43491.58,KORLE-BU WHOLESALE
ROPHI PHARMACY LTD,43347.47,OKAISHIE WHOLESALE
KANBOK  PHARMACEUTICAL,43308.65,MALLAM WHOLESALE
DINKAL PHARMACY,43181.54,MALLAM WHOLESALE
WESTERN PHARMACY LTD - WHOLESALE,42980.00,KUMASI WHOLESALE
DECAVA PHARMACY,42912.01,TANTRA HILL WHOLESALE
SAMGYEN PHARMACY,42547.11,OSU WHOLESALE
PRIME PHARMACY-EAST LEGON,42454.19,TANTRA HILL WHOLESALE
EDEN ROYAL PHARMACY,42220.25,MALLAM WHOLESALE
ALL FAITH MEDICAL CENTER,42157.07,MALLAM WHOLESALE
KLAY PHARMACY LTD,42156.99,TANTRA HILL WHOLESALE
DECLAN PHARMACY,42129.78,MALLAM WHOLESALE
JOYNOC PHARMACEUTICAL LTD,42009.82,KORLE-BU WHOLESALE
MEDIMIS PHARMACY LTD,41889.94,OSU WHOLESALE
JOSLY PHARMACY,41728.85,KORLE-BU WHOLESALE
SIRENE CHEMICALS,41530.99,OKAISHIE WHOLESALE
SAKO CHEMICAL,41516.67,ABEKA WHOLESALE
ZASE CHEMIST,41296.23,OSU WHOLESALE
JOSLY PHARMACY,40935.44,ABEKA WHOLESALE
KAGYI CHEMICAL STORE,40848.63,MALLAM WHOLESALE
EQUITY PHARMACY,40743.83,NANAKROM WHOLESALE
PRIME- TOP PILL C1,40690.40,TANTRA HILL WHOLESALE
